Codigo, Nombre, precio mayor, precio mayor2, precio menor, precio menor 2, cantidad mayor
0,,0.00,0.00,0.00,0.00,6
900,,0.90,0.90,1.00,0.90,6
1234,,0.20,0.20,0.98,0.20,6
01,adfha,1.00,1.00,2.00,1.00,6
ASATCH,ADORNO DE SANDALIA PARA ATACHE,0.38,0.38,0.38,0.38,6
AAAA,AGUJA,0.13,0.13,0.13,0.13,6
AAB,AGUJA DE ARETE BRONCE,0.69,0.69,0.69,0.69,6
AABFG,AGUJA DE ARETE BRONCE FDA/GDE,5.50,5.50,6.60,5.50,3
AAD10,AGUJA DE ARETE DIAMANTE # 10,0.60,0.60,0.75,0.60,6
AAF,AGUJA DE ARETE FLOR,0.50,0.50,0.63,0.50,6
AAPG,AGUJA DE ARETE PLANA GRANDE,1.19,1.19,1.19,1.19,6
AAPGFG,AGUJA DE ARETE PLANA GRANDE FDA/GDE,9.50,9.50,11.40,9.50,3
AARG,AGUJA DE ARETE REDONDA GRANDE,0.69,0.69,0.69,0.69,6
AARGFG,AGUJA DE ARETE REDONDA GRANDE FDA/GDE,5.50,5.50,6.60,5.50,3
AECHP,AGUJA P/ENSARTAR CHAQUIRA /50,0.11,0.11,0.11,0.11,6
AECHP50,AGUJA P/ENSARTAR CHAQUIRA /50F,1.50,1.50,1.88,1.50,6
ACHP,AGUJA PARA CHAQUIRA PEQUENA,0.50,0.50,0.63,0.50,6
AGUJX100,AGUJA X100,5.00,5.00,5.00,5.00,6
AARKG,ALAMBRE ACERO ROLLO KG,15.00,15.00,15.00,15.00,6
AAKG,ALAMBRE ALPACA /KG,13.20,13.20,15.84,13.20,3
AAFP,ALAMBRE ALPACA FDA/PEQ.,0.89,0.89,0.89,0.89,6
AAKILO,ALAMBRE AUMINIO KG.,15.00,15.00,15.00,15.00,6
AACP,ALAMBRE DE ACERO FDA/PEQ.,0.89,0.89,0.89,0.89,6
ALMA,ALAMBRE MEMORIA ANILLO,0.86,0.86,0.86,0.86,6
ALMAKG,ALAMBRE MEMORIA ANILLO / KG,6.90,6.90,8.28,6.90,3
AMAA,ALAMBRE MEMORIA ARETE,0.86,0.86,0.86,0.86,6
AMAAKG,ALAMBRE MEMORIA ARETE / KG,6.90,6.90,8.28,6.90,3
ALMC,ALAMBRE MEMORIA COLLAR,0.86,0.86,0.86,0.86,6
ALMCKG,ALAMBRE MEMORIA COLLAR / KG,6.90,6.90,8.28,6.90,3
ALMP,ALAMBRE MEMORIA PULSERA,1.50,1.50,1.50,1.50,6
ALMLPKG,ALAMBRE MEMORIA PULSERA / KG,12.00,12.00,14.40,12.00,6
ALMPOFT,ALAMBRE MEMORIA PULSERA OFERTA,1.20,1.20,1.20,1.20,6
A1HE3-4,ALFILER 1 HUECO ENTORCHADO 3 - 4,0.75,0.75,0.75,0.75,6
A1HE3-4F,ALFILER 1 HUECO ENTORCHADO 3 - 4 FDA/GD,6.00,6.00,7.20,6.00,6
A2H1-2,ALFILER 2 HUECOS 1 - 2,0.44,0.44,0.44,0.44,6
A2H1-2FG,ALFILER 2 HUECOS 1 - 2 FDA/GDE,3.50,3.50,4.20,3.50,3
A2H3-4,ALFILER 2 HUECOS 3 - 4,0.50,0.50,0.50,0.50,6
A2H3-4FG,ALFILER 2 HUECOS 3 - 4 FDA/GDE,4.00,4.00,4.80,4.00,6
ALF6,ALFILER 2 HUECOS 5 - 6,0.63,0.63,0.63,0.63,6
ALF6FG,ALFILER 2 HUECOS 5 - 6 FDA/GDE,5.00,5.00,6.00,5.00,6
ANAG,ANILLO AGATA,0.35,0.35,0.44,0.35,6
ANAF,ANILLO AGATA FACETEADO,0.40,0.40,0.50,0.40,6
APAM,ANILLO DE PIEDRA AMATISTA,5.00,5.00,6.00,5.00,6
ABAT,ANILLO PARA BASE ATACHE,0.11,0.11,0.16,0.11,6
ANPL,ANILLO PLACA LARGA,0.16,0.16,0.16,0.16,6
AP1HOJA,APLIQUE 1 HOJA,0.20,0.20,0.25,0.20,6
AP2RL,APLIQUE 2 ROSAS LARGAS,0.43,0.43,0.54,0.43,6
AP6FL,APLIQUE 6 FLORES,0.45,0.45,0.56,0.45,6
ABTL,APLIQUE BOTON DE TELA,0.25,0.25,0.32,0.25,6
ABTM,APLIQUE BOTON DE TELA MEDIANO,0.20,0.20,0.25,0.20,6
ABTLP,APLIQUE BOTON DE TELA PEQ.,0.10,0.10,0.13,0.10,6
APLC,APLIQUE CARACOL,0.00,0.00,0.71,0.00,6
APLEN,APLIQUE CON LENTEJUELA,0.60,0.60,0.75,0.60,6
APLEM,APLIQUE CON LENTEJUELA MEDIANO,0.55,0.55,0.69,0.55,6
APCRIS,APLIQUE CON PEPA CRISTAL,3.80,3.80,4.75,3.80,6
AFGR,APLIQUE FLORES GRANDES,3.00,3.00,3.75,3.00,6
APFPQ,APLIQUE FLORES PAQUETE,2.00,2.00,2.50,2.00,6
APGF,APLIQUE GAJOS DE FLORES,0.40,0.40,0.50,0.40,6
APGL,APLIQUE GAJOS LARGOS,0.91,0.91,1.14,0.91,6
APGR,APLIQUE GRANDE PARA ROPA,4.00,4.00,5.00,4.00,6
APHB,APLIQUE HOJA BORDADA,0.12,0.12,0.15,0.12,6
APHC,APLIQUE HOJA CORAZON,0.25,0.25,0.31,0.25,6
APLx12,APLIQUE LANA X 12,1.80,1.80,2.25,1.80,6
APMG,APLIQUE MARIPOSA GRANDE,0.75,0.75,0.94,0.75,6
APOK,APLIQUE OK.,0.50,0.50,0.63,0.50,6
ARLZ,APLIQUE ROSA - LAZO,0.20,0.20,0.25,0.20,6
AROR,APLIQUE ROSA HORGANZA,0.40,0.40,0.50,0.40,6
APRL,APLIQUE ROSA LENTEJUELA,0.30,0.30,0.39,0.30,6
ASEN,APLIQUE SENCILLO,0.30,0.30,0.38,0.30,6
APTP,APLIQUE TULIPAN,0.35,0.35,0.44,0.35,6
APVM,APLIQUE VARIOS MODELOS,0.40,0.40,0.50,0.40,6
APLIXM,APLIQUE x METRO,1.50,1.50,1.90,1.50,6
ABNP10,ARETE BOLA NIQ/PLATA # 10,0.75,0.75,0.75,0.75,6
ABNP14,ARETE BOLA NIQ/PLATA # 14,1.35,1.35,1.35,1.35,6
ABNP16,ARETE BOLA NIQ/PLATA # 16,1.85,1.85,1.85,1.85,6
ABNP8,ARETE BOLA NIQ/PLATA # 8,0.50,0.50,0.50,0.50,6
ABN12,ARETE BOTON NIQ. # 12,0.80,0.80,0.80,0.80,6
ABN16,ARETE BOTON NIQ. # 16,1.40,1.40,1.40,1.40,6
ABN20,ARETE BOTON NIQ. # 20,1.85,1.85,1.85,1.85,6
ADM,ARETE CON DIAMANTE MEDIANO,2.00,2.00,2.00,2.00,6
ACON,ARETE DE CONCHA,0.45,0.45,0.45,0.45,6
AFCB,ARETE FINO CON BRILLO,2.50,2.50,2.50,2.50,6
ARFNS3,ARETE FINO CONF3,2.68,2.68,2.68,2.68,6
AFG,ARETE FINO GRANDE,1.75,1.75,2.19,1.75,6
APER,ARETE PERLA,0.65,0.65,0.82,0.65,6
APFIN,ARETE PERLA FINA,1.00,1.00,1.00,1.00,6
AVMCB,ARETE VARIOS MODELOS CON BRILLO,1.50,1.50,1.50,1.50,6
ALLPLF,ARG. LLAVERO 0.30 PLANA x 1000 FG,19.00,19.00,22.80,19.00,6
ARG05,ARGOLLA 0.5,0.58,0.58,0.58,0.58,6
ARGCB,ARGOLLA 0.5 COBRE / BRONCE,0.46,0.46,0.46,0.46,6
ARGCBF,ARGOLLA 0.5 COBRE / BRONCE FDA/GDE,3.70,3.70,4.44,3.70,3
ARG05F,ARGOLLA 0.5 FDA/ GDE.,4.60,4.60,5.52,4.60,3
ARGN,ARGOLLA 0.5 NEGRA,0.46,0.46,0.46,0.46,6
ARGNF,ARGOLLA 0.5 NEGRA FDA/GDE,3.70,3.70,4.44,3.70,3
ARG3,ARGOLLA 3.5 mm,0.65,0.65,0.65,0.65,6
ARG3F,ARGOLLA 3.5 mm FDA/ GDE,5.20,5.20,6.24,5.20,3
AAE15F,ARGOLLA ALUM. ENT. 1.8 X 15 FDA/ GDE,12.50,12.50,15.00,12.50,6
AAE20F,ARGOLLA ALUM. ENTOR. 1.8 X 20 FDA/ GDE,15.00,15.00,18.00,15.00,6
AAE3F,ARGOLLA ALUM. ENTOR. 3.0 X 31FD/GDE,7.00,7.00,8.40,7.00,6
AAE32F,ARGOLLA ALUM. ENTOR. 3.2 X 27 FDA/GDE,6.50,6.50,7.80,6.50,3
ARAL2.0,ARGOLLA ALUMINIO 2.0 x 1.2,1.72,1.72,1.72,1.72,6
ARAL2.0F,ARGOLLA ALUMINIO 2.0 x 1.2 FDA/GDE,13.75,13.75,16.50,13.75,3
ARA30,ARGOLLA ALUMINIO 3.0 x 2.6,0.56,0.56,0.56,0.56,6
ARAL3,ARGOLLA ALUMINIO 3.0 x 3.1,0.69,0.69,0.69,0.69,6
AAE15,ARGOLLA ALUMINIO ENTORCHADA 1.8 X 15,1.56,1.56,1.56,1.56,6
AAE3,ARGOLLA ALUMINIO ENTORCHADA 3.0 X 31,0.88,0.88,0.88,0.88,6
AAE32,ARGOLLA ALUMINIO ENTORCHADA 3.2 X 27,0.81,0.81,0.81,0.81,6
AK102,ARGOLLA ALUMINIO K102,1.44,1.44,1.44,1.44,6
AK104,ARGOLLA ALUMINIO K104,1.19,1.19,1.19,1.19,6
AK105,ARGOLLA ALUMINIO K105,0.74,0.74,0.74,0.74,6
AK106-107,ARGOLLA ALUMINIO K106-107,0.56,0.56,0.56,0.56,6
ARQK120,ARGOLLA ALUMINIO QK120,1.72,1.72,1.72,1.72,6
AAE20,ARGOLLA ALUMINO ENTORCHADA 1.8 X 20,1.88,1.88,1.88,1.88,6
ARQK120F,ARGOLLA ALUMINO QK120 FDA/GDE,13.75,13.75,16.50,13.75,3
ARAX1000,ARGOLLA ARETE x 1000,2.81,2.81,2.81,2.81,6
ARX1000F,ARGOLLA ARETE x 1000 FDA/GDE,22.50,22.50,27.00,22.50,6
ARBM,ARGOLLA BAMBU MADERA,0.75,0.75,0.94,0.75,6
AACR,ARGOLLA DE ACERO,1.82,1.82,1.82,1.82,6
AAFG,ARGOLLA DE ACERO F/GR,14.50,14.50,17.40,14.50,3
ARA30F,ARGOLLA DE ALUMINIO 3.0 x 2.6 FDA/GD,4.50,4.50,5.40,4.50,3
ARAL3F,ARGOLLA DE ALUMINIO 3.0 x 3.1 FDA/GD,5.50,5.50,6.60,5.50,3
AK102F,ARGOLLA DE ALUMINIO K102 FDA/GD,11.50,11.50,13.80,11.50,3
AK104F,ARGOLLA DE ALUMINIO K104 FDA/GD,9.50,9.50,11.40,9.50,3
AK105F,ARGOLLA DE ALUMINIO K105 FDA/GD,5.90,5.90,7.08,5.90,3
AK106-7F,ARGOLLA DE ALUMINIO K106-K107 FDA/GD,4.50,4.50,5.40,4.50,3
ARPRE,ARGOLLA DE PRESION,2.00,2.00,2.00,2.00,6
ARPREF,ARGOLLA DE PRESION FDA/GDE,16.00,16.00,19.20,16.00,6
AD10,ARGOLLA DIAMANTE # 10,0.40,0.40,0.50,0.40,6
AD15,ARGOLLA DIAMANTE # 15,0.65,0.65,0.82,0.65,6
AD08,ARGOLLA DIAMANTE # 8,0.35,0.35,0.44,0.35,100
ADDO09,ARGOLLA DIAMANTE DOBLE # 09,0.65,0.65,0.82,0.65,6
ADDO12,ARGOLLA DIAMANTE DOBLE # 12,0.70,0.70,0.88,0.70,6
ADPLAS,ARGOLLA DIAMANTE PLASTICA,0.40,0.40,0.50,0.40,6
ADPSAN,ARGOLLA DOBLE PARA SANDALIA,0.44,0.44,0.44,0.44,6
AR2HUE,ARGOLLA DOS HUECOS,0.42,0.42,0.42,0.42,6
AFT13,ARGOLLA FINA T - 1380,0.15,0.15,0.19,0.15,6
AFT16,ARGOLLA FINA T - 1666,0.40,0.40,0.50,0.40,6
AFT67,ARGOLLA FINA T - 1667,0.35,0.35,0.45,0.35,6
AFT68,ARGOLLA FINA T - 1668,0.40,0.40,0.50,0.40,6
AFT71,ARGOLLA FINA T - 6071,0.20,0.20,0.25,0.20,6
AFT10,ARGOLLA FINA T - 7100,0.35,0.35,0.45,0.35,6
AFT81,ARGOLLA FINA T - 8146,0.20,0.20,0.20,0.20,6
ALL0.25F,ARGOLLA LLAVERO 0.25 x 1000 FDA/GDE,7.50,7.50,9.00,7.50,6
ALLO.25,ARGOLLA LLAVERO 0.25 x 50,0.94,0.94,0.94,0.94,6
ALL0.28F,ARGOLLA LLAVERO 0.28 x 1000 PLANA FDA/GDE,16.50,16.50,19.80,16.50,3
ALL0.28,ARGOLLA LLAVERO 0.28 x 50 PLANA FDA/PEQ,2.06,2.06,2.06,2.06,6
ALLPL,ARGOLLA LLAVERO 0.30 PLANA x 50,2.38,2.38,2.38,2.38,6
ALL0.30F,ARGOLLA LLAVERO 0.30 x 1000 FDA/GDE,17.00,17.00,20.40,17.00,6
ALL0.30,ARGOLLA LLAVERO 0.30 x 50,2.13,2.13,2.13,2.13,6
ALL0.32,ARGOLLA LLAVERO 0.32 x 25 PLANA,2.19,2.19,2.19,2.19,6
ALL.32PF,ARGOLLA LLAVERO 0.32 x 500 PLANA FDA/GDE,17.50,17.50,21.00,17.50,6
ACCTOR,ASA CERRADA CON TORNILLO,0.45,0.45,0.54,0.45,6
ACCTDI,ASA CERRADA CON TORNILLO DIAMANTE,1.20,1.20,1.50,1.20,6
ACERR,ASA CERRADAS,0.19,0.19,0.12,0.19,100
ACEX100,ASA CERRADAS X 100,9.50,9.50,11.40,9.50,6
ACXDOC,ASAS CERRADA X DOCENA,8.00,8.00,9.60,8.00,6
ACFINA,ASAS CERRADAS FINA,0.19,0.19,0.12,0.19,6
ACFX100,ASAS CERRADAS FINA X100,9.50,9.50,11.40,9.50,6
ACENU,ASAS CERRADAS NUEVA,0.84,0.84,0.84,0.84,6
AART,ASAS DE ARETE,0.88,0.88,0.88,0.88,6
AACB,ASAS DE ARETE COBRE,0.66,0.66,0.66,0.66,6
AACBF,ASAS DE ARETE COBRE FDA/GDE,5.25,5.25,6.30,5.25,3
AARTF,ASAS DE ARETE FDA/GDE,7.00,7.00,8.40,7.00,6
ACPCO,ATACHE CUADRADO PARA COSER,3.15,3.15,3.15,3.15,6
ACPCG,ATACHE PARA COSER GRANDE,1.50,1.50,1.89,1.50,6
APZAP,ATACHE PARA ZAPATOS,0.25,0.25,0.31,0.25,6
APLAP,ATACHE PLAST.PEQ.,0.13,0.13,0.16,0.13,6
APLAS,ATACHE PLASTICO,0.16,0.16,0.20,0.16,6
APLAM,ATACHE PLASTICO MD.,0.15,0.15,0.19,0.15,6
APLAR,ATACHE PLASTICO PARA ROPA,0.60,0.60,0.60,0.60,6
ATCH,ATACHES,0.45,0.45,0.45,0.45,6
ATCHF,ATACHES FDA/GDE,3.50,3.50,4.38,3.50,3
ATCHP,ATACHES PEGABLE,1.30,1.30,1.30,1.30,6
ATCHPF,ATACHES PEGABLES FDA/GDE,10.00,10.00,12.00,10.00,6
BDI1-600,BALANZA DIGITAL 0.1- 600g.,40.00,40.00,50.00,40.00,6
BAAR,BASE ANILLO CON ARGOLLA,0.40,0.40,0.50,0.40,6
BAMA,BASE ANILLO CON MAYA,0.40,0.40,0.50,0.40,6
BAXP,BASE PARA ARETE X PAR,1.50,1.50,1.88,1.50,6
BODE04,BOLA DEBUTA # 04,0.40,0.40,0.50,0.40,6
BODE06,BOLA DEBUTA # 06,0.40,0.40,0.50,0.40,6
BODE08,BOLA DEBUTA # 08,0.50,0.50,0.63,0.50,6
BODE10,BOLA DEBUTA # 10,0.75,0.75,0.95,0.75,6
BODE12,BOLA DEBUTA # 12,1.10,1.10,1.39,1.10,6
BOLM2,BOLA METALICA # 2,0.75,0.75,0.75,0.75,6
BOLM2F,BOLA METALICA # 2 FDA GRD.,6.00,6.00,7.20,6.00,6
BOLM4,BOLA METALICA # 4,1.06,1.06,1.06,1.06,6
BOLM4F,BOLA METALICA # 4 FDA/GDE,8.50,8.50,10.20,8.50,3
BOLM6,BOLA METALICA # 6,0.56,0.56,0.56,0.56,6
BOLM6F,BOLA METALICA # 6 FDA/GDE,4.50,4.50,5.40,4.50,3
BOLM8F,BOLA METALICA # 7-8 FDA/GDE,8.50,8.50,10.20,8.50,3
BOLM8,BOLA METALICA # 8,1.06,1.06,1.06,1.06,6
BMF10X100,BOLA METALICA FINA # 10,14.00,14.00,16.80,14.00,6
BMF10,BOLA METALICA FINA # 10,0.18,0.18,0.18,0.18,6
BMF12X100,BOLA METALICA FINA # 12,18.00,18.00,21.60,18.00,6
BMF12,BOLA METALICA FINA # 12,0.23,0.23,0.23,0.23,6
BMF04,BOLA METALICA FINA # 4,5.00,5.00,6.25,5.00,6
BMF8X100,BOLA METALICA FINA # 8,9.00,9.00,10.80,9.00,6
BMF08,BOLA METALICA FINA # 8,0.12,0.12,0.12,0.12,6
BMF6X100,BOLA METALICA FINA #6,7.50,7.50,9.00,7.50,6
BMF06,BOLA METALICA FINA #6,0.10,0.10,0.10,0.10,6
BGTAG,BOLAS TAGUA,0.18,0.18,0.23,0.18,6
BX100CO,BOTONES X 100 PARA COSER,4.25,4.25,5.10,4.25,3
BOXD,BOTONES X DOCENA PARA COSER,0.54,0.54,0.54,0.54,6
BRPLDOC,BR. PLAST. PARA MALETAS,1.50,1.50,1.50,1.50,6
BROR,BROCHE  R,0.60,0.60,0.76,0.60,3
BRO2V,BROCHE 2 VUELTAS,0.54,0.54,0.54,0.54,6
BRO3V,BROCHE 3 VUELTAS,0.75,0.75,0.75,0.75,6
BRO3VF,BROCHE 3 VUELTAS FDA/GDE,6.00,6.00,7.20,6.00,6
BRBAG,BROCHE BARRIL GRANDE,2.88,2.88,2.88,2.88,6
BRBAGF,BROCHE BARRIL GRANDE FDA/GDE,23.00,23.00,27.60,23.00,6
BROPI,BROCHE CON PIEDRA,2.50,2.50,3.13,2.50,6
BRCG,BROCHE CONCHA GRANDE,6.80,6.80,8.50,6.80,6
BRCM,BROCHE CONCHA MEDIANA,4.80,4.80,6.00,4.80,6
BRDA,BROCHE DIAMANTE  A,0.50,0.50,0.63,0.50,6
BRDGR,BROCHE DIAMANTE GRANDE,0.60,0.60,0.76,0.60,6
BROF,BROCHE FINO,0.45,0.45,0.57,0.45,6
BROG,BROCHE GAFETE,0.45,0.45,0.57,0.45,6
BRGBG,BROCHE GANCHO BRONCE GRANDE,2.00,2.00,2.00,2.00,6
BRGBGF,BROCHE GANCHO BRONCE GRANDE FDA/GDE,16.00,16.00,19.20,16.00,6
BRGM,BROCHE GANCHO BRONCE MEDIANO,1.50,1.50,1.50,1.50,6
BRGMF,BROCHE GANCHO BRONCE MEDIANO FDA/GDE,12.00,12.00,14.40,12.00,6
BRGEXF,BROCHE GANCHO EXT/GDE,0.50,0.50,0.50,0.50,6
BRGEX,BROCHE GANCHO EXT/GRANDE,4.00,4.00,4.80,4.00,6
BGFIN,BROCHE GANCHO FINO,0.23,0.23,0.23,0.23,6
BGFX100,BROCHE GANCHO FINO X100,18.00,18.00,21.60,18.00,6
BGGR,BROCHE GANCHO GRANDE,1.75,1.75,1.75,1.75,6
BGGRF,BROCHE GANCHO GRANDE FDA/GDE,14.00,14.00,16.80,14.00,6
BGME,BROCHE GANCHO MEDIANO,1.25,1.25,1.25,1.25,6
BGMEF,BROCHE GANCHO MEDIANO FDA/GDE,10.00,10.00,12.00,10.00,6
BGPL,BROCHE GANCHO PLANO FDA/GDE,17.00,17.00,20.40,17.00,6
BGPLF,BROCHE GANCHO PLANO FDA/PEQ,2.13,2.13,2.13,2.13,6
BRGRA,BROCHE GRANDE,2.38,2.38,2.38,2.38,6
BGDI,BROCHE GRANDE CON DIAMANTE,0.65,0.65,0.81,0.65,6
BRGRAF,BROCHE GRANDE FDA/GDE,19.00,19.00,22.80,19.00,6
BRIEX,BROCHE IMAN EXTRA GRANDE,0.85,0.85,1.06,0.85,6
BMPA,BROCHE MAGNETICO PASTILLA,0.20,0.20,0.26,0.20,6
BMAZI,BROCHE MAZI 0.6,0.50,0.50,0.50,0.50,6
BMAZIF,BROCHE MAZI 0.6 FDA/GDE,4.00,4.00,4.80,4.00,6
BMAZ0,BROCHE MAZI 1.0,0.75,0.75,0.75,0.75,6
BNAZ1.0F,BROCHE MAZI 1.0 FDA/GDE,6.00,6.00,7.20,6.00,6
BMAZ1,BROCHE MAZI 1.4,0.94,0.94,0.94,0.94,6
BMAZ1.4F,BROCHE MAZI 1.4 FDA/GDE,7.50,7.50,9.00,7.50,6
BROPA,BROCHE PASTILLA,0.60,0.60,0.75,0.60,6
BROPLAS,BROCHE PLASTICO FDA/GDE,3.57,3.57,4.29,3.57,3
BROPLASF,BROCHE PLASTICO FDA/PQ,0.45,0.45,0.45,0.45,6
BRRF,BROCHE REDONDO FINO,0.65,0.65,0.82,0.65,6
BROSV,BROCHE SALVAVIDA,0.45,0.45,0.57,0.45,6
CY1455,CADENA  Y1455,0.95,0.95,1.19,0.95,100
CA/30,CADENA A/30,0.73,0.73,0.92,0.73,100
CAB1.5X3,CADENA B 1.5 X 3.0,0.80,0.80,1.00,0.80,6
CAB3.2X6,CADENA B 3.2 x 6.4,1.20,1.20,1.50,1.20,100
CAB2.4X4,CADENA B2.4 x 4.8,0.95,0.95,1.19,0.95,100
CAB1.5,CADENA BOLA 1.5,0.50,0.50,0.63,0.50,100
CAB1.5B,CADENA BOLA 1.5 BRONCE,0.54,0.54,0.68,0.54,100
CAB2.0,CADENA BOLA 2.0,0.66,0.66,0.83,0.66,100
CAB2.0B,CADENA BOLA 2.0 BRONCE,0.72,0.72,0.90,0.72,100
